magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
7.0,8,7,0,1,768,9,117,0.509,17.0,8,14.0,-9.7963,159.596
6.9,4,4,0,0,735,9,99,2.229,34.0,8,25.0,-4.9559,100.738
7.0,3,3,0,1,755,9,147,3.125,18.0,8,579.0,-20.0508,-178.346
7.3,5,5,0,1,833,9,149,1.865,21.0,8,37.0,-19.2918,-172.129
6.6,0,2,0,1,670,9,131,4.998,27.0,8,624.464,-25.5948,178.278
7.0,4,3,0,1,755,9,142,4.578,26.0,6,660.0,-26.0442,178.381
6.8,1,3,0,1,711,9,136,4.678,22.0,8,630.379,-25.9678,178.363
6.7,7,6,0,1,797,9,145,1.151,37.0,8,20.0,7.6712,-82.3396
6.8,8,7,3,1,1179,9,175,2.137,92.0,8,20.0,18.33,-102.913
7.6,9,8,3,1,1799,9,271,1.153,69.0,8,26.943,18.3667,-103.252
6.9,9,9,3,1,887,9,215,0.401,34.0,8,10.0,23.1444,121.307
6.5,7,7,0,1,756,9,178,0.43,54.0,8,10.0,23.029,121.348
7.0,7,5,0,1,761,9,192,2.977,45.0,8,137.0,-21.2077,170.239
7.6,8,8,3,1,965,9,272,3.158,12.0,8,116.0,-6.2237,146.471
6.6,9,8,1,0,1043,9,141,8.454,34.0,8,12.0,29.7263,102.279
6.6,7,6,0,1,672,9,68,5.293,34.0,8,30.0,-32.6922,-178.959
7.0,9,8,3,1,1351,9,152,5.276,22.0,8,33.729,17.5978,120.809
6.5,3,2,0,0,653,9,236,1.999,31.0,8,622.73,-9.0618,-71.1647
7.2,7,5,0,1,876,9,144,2.494,40.0,8,236.0,-14.8628,-70.3081
6.9,2,5,0,1,733,9,127,0.371,45.0,8,10.0,-54.1325,159.027
6.8,6,5,0,1,762,9,162,1.505,30.0,8,220.0,-23.6141,-66.7236
6.6,6,5,0,1,762,9,0,0.914,94.0,8,27.0,11.5538,-86.9919
7.0,6,4,0,1,763,9,0,2.705,26.0,8,10.0,-22.5732,170.349
6.9,6,4,0,1,738,9,0,2.697,42.0,8,10.0,-22.72,170.277
6.7,8,7,0,1,806,9,0,0.289,32.0,8,24.0,23.3421,121.636
7.3,9,8,2,1,2397,9,0,2.936,29.0,8,41.0,37.7015,141.587
6.7,9,6,0,0,708,9,0,2.188,43.0,8,28.0,-0.6831,98.6034
6.6,2,7,0,1,670,9,0,0.827,46.0,8,24.0,-30.0528,-177.74
6.8,2,3,0,1,712,9,0,5.78,12.0,8,535.0,-23.7852,-179.968
6.5,8,6,0,0,690,9,0,3.026,22.0,8,110.0,-4.455,-76.9395
6.5,7,4,0,1,651,9,0,1.088,57.0,8,8.0,-29.535,-176.729
6.6,8,6,0,0,785,9,0,2.418,22.0,8,33.0,-6.9291,105.251
6.5,0,3,0,1,650,1,97,1.61607,108.0,0,37.0,52.502,-168.08
6.5,0,3,0,1,650,8,23,0.0,208.8,0,37.0,52.502,-168.08
6.6,8,5,0,1,674,9,0,0.507,49.0,8,19.0,52.6252,-168.15
6.7,0,4,0,1,691,1,50,0.936943,126.0,0,33.0,52.48,-167.736
6.7,0,4,0,1,691,8,20,0.0,205.2,0,33.0,52.48,-167.736
6.8,7,6,0,1,730,9,0,0.92,61.0,8,20.0,52.6563,-167.917
6.6,6,6,0,0,976,9,0,1.168,21.0,8,21.0,35.1456,31.9095
6.6,9,8,1,0,1012,9,0,2.685,13.0,8,13.0,37.8167,101.299
7.3,8,7,0,0,921,9,0,3.713,19.0,8,165.49,-7.5924,127.581
7.3,9,5,0,1,854,9,0,1.025,32.0,8,14.27,-7.6033,122.2
7.5,8,8,3,1,1094,9,0,4.951,40.0,8,126.0,-4.4898,-76.8461
6.6,7,4,0,1,688,9,0,3.259,15.0,8,12.0,23.5414,126.48
6.9,8,6,0,1,995,0,0,0.0,0.0,8,51.6,56.2581,-156.492
6.9,4,3,0,1,740,9,0,4.778,31.0,8,535.0,-21.1704,174.54
7.3,4,4,0,1,826,9,0,4.493,32.0,8,527.0,-21.1036,174.895
6.5,7,5,0,1,684,9,0,0.993,114.0,8,21.0,12.1598,-87.8542
7.0,8,8,2,1,2504,9,0,0.07,43.0,8,20.0,16.9502,-99.7877
7.1,1,4,0,1,776,9,0,9.799,32.0,8,6.0,-60.3026,-24.9992
6.6,1,3,0,1,670,9,0,8.865,19.0,8,7.0,-60.1023,-24.4608
6.9,8,7,0,1,741,9,0,0.579,54.0,8,93.0,-14.892,167.085
6.9,6,4,0,1,734,9,0,8.363,48.0,8,16.7,-58.3814,-23.3318
7.2,9,8,2,1,2331,9,0,1.178,23.0,8,10.0,18.3521,-73.4804
6.9,5,4,0,1,738,0,0,0.0,0.0,8,33.3,55.2364,-157.707
6.9,5,4,0,1,738,9,0,1.173,36.0,8,20.74,55.2657,-157.68
8.1,0,7,0,0,1009,9,0,7.463,78.0,8,22.79,-58.4157,-25.3206
7.5,9,6,0,1,868,9,0,7.227,38.0,8,47.23,-57.5959,-25.1874
7.1,9,7,0,1,846,9,0,1.273,25.0,8,55.14,6.4547,126.742
8.2,8,6,0,1,1237,9,0,0.875,66.0,8,46.66,55.4742,-157.917
8.2,8,7,3,1,1252,0,0,0.0,0.0,8,35.0,55.3154,-157.829
6.7,8,5,0,1,935,9,0,8.139,12.0,8,110.0,13.6989,120.713
6.7,6,6,0,1,830,9,0,1.395,61.0,8,10.0,7.5904,-82.8813
6.5,0,4,0,1,650,9,0,7.994,24.0,8,25.0,-30.2144,-177.773
6.5,5,7,0,1,652,9,0,4.518,44.0,8,10.0,-16.4796,-177.356
7.3,9,9,1,0,1025,9,0,4.655,9.0,8,10.0,34.5861,98.2551
6.7,8,4,0,0,698,9,0,1.487,37.0,8,11.0,0.1684,96.6475
6.7,9,3,0,0,694,9,0,10.669,45.0,8,10.0,-17.2495,66.3745
6.9,7,6,0,1,919,9,0,2.619,35.0,8,43.0,38.2296,141.665
6.5,4,4,0,0,651,9,0,5.931,20.0,8,246.0,-21.6857,-177.064
6.5,6,4,0,0,652,9,0,10.405,19.0,8,301.0,-18.9204,-176.235
7.0,7,7,3,1,1052,9,0,2.378,35.0,8,43.0,38.4752,141.607
6.6,5,5,0,1,672,9,0,3.183,18.0,8,13.23,54.7018,163.208
6.5,0,4,0,0,650,9,0,11.764,25.0,6,24.0,-28.4792,-176.619
8.1,9,8,0,1,1021,9,0,0.739,21.0,8,28.93,-29.7466,-177.224
7.4,3,7,0,1,843,9,0,0.437,30.0,8,43.0,-29.6131,-177.842
7.3,7,6,0,1,932,9,0,0.918,24.0,8,10.0,-37.596,179.544
7.1,9,8,1,1,1612,9,0,3.085,11.0,8,43.98,37.6856,141.992
7.7,9,4,0,1,918,9,0,7.989,15.0,8,10.0,-23.2787,171.489
6.9,9,5,0,1,739,9,0,1.55,16.0,8,15.0,-61.8484,-55.559
7.0,7,5,0,1,802,9,0,2.821,15.0,8,80.0,5.0074,127.517
6.7,8,8,0,0,776,9,0,2.043,22.0,8,10.0,51.2407,100.443
6.7,5,5,0,1,776,9,0,1.319,19.0,8,10.0,-39.3264,-74.9067
7.0,8,7,1,0,1527,9,0,1.518,18.0,8,21.0,37.8973,26.7953
7.6,9,7,3,1,1165,9,0,0.23,36.0,8,28.37,54.662,-159.675
6.9,0,3,0,1,732,9,0,11.255,16.0,8,10.0,0.9604,-26.8332
6.5,6,6,0,0,674,9,0,0.388,49.0,8,16.0,-27.9285,-71.3937
6.8,6,7,0,1,824,9,0,0.312,69.0,8,21.0,-28.013,-71.1958
6.5,4,5,0,0,651,9,0,15.394,31.0,8,10.0,0.8696,-29.7046
6.9,4,3,0,0,749,9,0,2.267,20.0,8,624.0,-6.6704,123.493
6.9,4,4,0,0,735,9,0,1.716,25.0,8,26.0,-4.2791,101.215
6.8,5,4,0,0,716,9,0,1.816,34.0,8,22.0,-4.3724,101.095
6.6,9,8,3,1,784,9,0,5.128,14.0,8,10.0,12.0065,124.13
7.8,9,7,0,1,1111,9,0,0.621,60.0,8,28.0,55.1079,-158.477
7.0,6,7,0,1,820,9,0,1.671,18.0,8,73.0,-7.847,147.755
6.6,4,2,0,0,684,9,0,1.458,14.0,8,533.76,-5.6368,110.678
7.4,8,8,1,1,1494,9,0,0.151,30.0,8,20.0,15.9163,-95.9533
7.4,7,7,0,1,873,9,0,4.035,23.0,8,10.0,-33.2938,-177.838
6.6,5,4,0,1,734,9,0,2.015,18.0,8,165.0,28.9386,128.262
6.8,6,6,0,1,835,9,0,1.164,21.0,8,112.0,-23.2966,-68.4204
6.5,7,8,0,0,1320,6,27,0.357,55.79,3,2.7,38.1689,-117.85
6.6,4,6,0,1,671,9,0,3.403,12.0,8,107.0,-12.0662,166.648
6.8,4,6,0,0,738,9,0,1.921,16.0,8,96.0,-6.7762,129.785
6.5,7,6,0,0,678,9,0,1.293,19.0,8,10.0,34.1818,25.7101
6.5,8,8,0,0,1410,9,0,0.885,31.0,8,12.06,44.4646,-115.118
7.5,6,5,0,1,879,9,0,4.109,12.0,8,57.8,48.9638,157.695
7.0,5,6,3,1,770,9,0,4.501,25.0,8,143.0,45.6161,148.959
7.7,9,6,3,1,1812,9,0,1.657,26.0,8,14.86,19.4193,-78.756
6.7,8,9,1,0,1247,9,0,0.87,49.0,8,10.0,38.4312,39.0609
6.8,9,7,3,1,825,9,0,0.546,39.0,8,18.0,6.6969,125.174
7.1,6,6,0,1,799,9,0,1.271,11.0,8,33.0,1.6213,126.416
6.5,0,2,0,0,650,9,0,4.765,25.0,8,577.0,-21.9449,-179.511
6.6,4,4,0,1,673,9,0,5.086,48.0,8,10.0,-18.5747,-175.272
6.5,9,7,0,1,733,9,0,0.428,19.0,8,10.0,6.9098,125.178
6.6,9,7,3,1,780,9,0,0.646,24.0,8,15.0,6.7567,125.008
6.7,7,6,0,1,844,9,0,1.269,98.0,8,11.0,-35.4758,-73.163
6.5,7,7,3,1,656,9,0,3.909,15.0,8,12.26,-3.4528,128.37
6.6,2,3,0,1,671,9,0,4.121,19.0,8,591.0,-20.3641,-178.57
6.6,0,4,0,1,670,9,0,12.896,19.0,8,16.0,-60.2152,-26.5801
6.9,4,6,0,0,875,9,0,2.839,23.0,8,49.0,-7.2822,104.791
6.8,6,6,0,1,947,9,0,0.817,35.0,8,25.0,-34.2364,-72.3102
6.6,0,4,0,1,670,9,0,6.024,30.0,8,181.0,-16.1985,167.998
7.2,7,7,0,1,809,9,0,1.504,38.0,8,18.98,-0.5858,128.034
6.6,5,5,0,0,791,9,0,2.978,32.0,8,10.0,-18.2242,120.358
6.9,7,5,0,0,747,9,0,1.205,21.0,8,35.0,0.5126,126.189
7.1,9,9,3,0,1646,2,77,0.04616,43.0,5,8.0,35.7695,-117.599
7.3,4,6,0,1,952,9,0,2.629,16.0,8,212.0,-6.4078,129.169
7.3,8,6,0,1,830,9,0,1.402,11.0,8,46.0,-30.6441,-178.1
6.6,7,6,3,1,886,9,0,1.193,22.0,8,57.92,13.1994,-89.3056
8.0,9,8,1,1,1890,9,0,3.18,17.0,8,122.57,-5.8119,-75.2697
7.6,7,7,0,1,929,9,0,0.453,16.0,8,10.0,-4.051,152.597
7.1,7,6,3,1,826,9,0,2.514,16.0,8,146.0,-6.9746,146.449
6.8,5,6,0,1,717,9,0,0.791,28.0,8,15.46,-1.8146,122.58
6.5,0,5,0,1,650,9,0,7.568,18.0,8,38.0,-58.6262,-25.304
7.0,7,4,0,1,869,9,0,2.501,42.0,8,267.0,-14.7131,-70.1546
7.5,7,7,3,1,1145,9,0,2.045,15.0,8,145.0,-2.1862,-77.0505
6.7,6,6,3,1,909,9,0,0.289,43.0,8,66.0,14.6802,-92.4527
6.7,0,3,0,0,691,9,0,7.527,17.0,8,13.0,-43.1219,42.3568
6.7,8,8,1,1,1600,9,0,0.173,22.0,8,63.0,-30.0404,-71.3815
6.6,5,4,0,1,671,9,0,7.818,18.0,8,35.0,-13.336,166.875
6.6,2,4,0,1,672,9,0,1.596,33.0,8,43.21,2.258,126.758
6.8,3,3,0,0,715,9,0,1.181,16.0,8,570.41,-8.144,-71.587
7.0,5,5,0,1,803,9,0,1.769,21.0,8,60.21,5.8983,126.921
7.3,3,7,0,1,822,9,0,4.126,23.0,8,16.56,55.0999,164.699
7.1,0,5,0,1,776,9,0,7.043,20.0,8,133.0,-58.5446,-26.3856
6.6,0,4,0,1,670,9,0,2.679,31.0,8,10.0,-22.0629,169.733
7.5,3,6,0,1,871,9,0,2.405,18.0,8,10.0,-21.9496,169.427
7.1,8,8,1,1,1790,0,0,0.0,0.0,5,46.7,61.3464,-149.955
6.8,0,3,0,1,711,9,0,2.879,39.0,8,540.0,-17.8735,-178.927
6.7,3,4,0,1,693,9,0,7.853,19.0,8,10.0,71.6312,-11.2431
6.8,8,7,3,0,954,9,0,2.268,15.0,8,14.0,37.5203,20.5565
6.5,2,4,0,0,655,9,0,1.692,68.0,8,10.0,49.297,-129.724
6.8,4,4,0,1,776,9,0,1.505,36.0,8,10.0,49.3346,-129.289
6.5,3,4,0,1,669,9,0,1.611,63.0,8,10.0,49.2586,-129.412
6.5,0,4,0,1,650,9,0,2.109,22.0,8,17.0,-21.7427,169.522
6.7,0,3,0,1,691,9,0,2.705,17.0,8,461.0,52.8549,153.243
6.5,0,4,0,1,650,9,0,3.923,14.0,8,20.0,49.2902,156.297
7.0,6,6,0,1,758,9,0,1.778,18.0,8,39.0,-5.7012,151.205
6.7,2,3,0,1,691,9,0,3.745,23.0,8,550.0,-18.3604,-178.063
7.5,8,8,2,0,2026,9,0,1.649,13.0,8,20.0,-0.2559,119.846
6.5,4,1,0,0,651,9,0,5.139,18.0,8,576.0,-25.415,178.199
6.9,3,4,0,0,735,9,0,2.785,18.0,8,115.0,-31.7447,-179.373
6.5,3,6,0,1,651,9,0,1.638,25.0,8,68.0,-10.0207,161.503
7.9,7,4,0,1,979,9,0,1.431,12.0,8,670.81,-18.4743,179.35
6.6,8,9,1,1,1075,9,0,1.13,32.0,8,35.0,42.6861,141.929
7.1,2,5,0,1,776,9,0,2.548,23.0,8,21.43,-22.0295,170.126
7.1,0,3,0,0,776,9,0,3.77,12.0,8,630.0,-11.0355,-70.8284
6.5,6,7,0,1,652,9,0,4.797,10.0,8,9.0,-16.0315,168.143
7.3,8,6,3,1,1570,9,0,1.822,15.0,8,146.82,10.7731,-62.9019
6.9,7,7,0,0,1206,9,0,2.453,31.0,8,21.0,-8.319,116.627
8.2,5,4,0,1,1050,9,0,3.63,13.0,8,600.0,-18.1125,-178.153
6.5,5,3,0,0,743,9,0,2.719,23.0,8,529.0,-7.3718,119.802
6.5,6,6,0,1,655,9,0,0.576,22.0,8,33.93,51.4234,-178.026
6.9,9,8,1,0,1704,9,0,2.271,15.0,8,34.0,-8.2581,116.438
6.9,7,8,3,1,1392,4,63,0.11,210.0,5,5.81,19.3182,-155.0
6.8,5,3,0,0,733,9,0,5.32,16.0,8,559.0,-20.6588,-63.0058
6.9,9,6,0,1,741,9,0,1.487,18.0,8,35.0,-5.5321,151.5
6.7,5,6,0,1,696,9,0,1.507,15.0,8,40.0,-5.5024,151.402
6.8,6,6,0,1,719,9,0,1.049,16.0,8,22.86,-4.3762,153.2
6.7,8,7,0,1,697,9,0,5.457,19.0,8,20.49,-6.3043,142.612
7.5,9,8,3,1,943,9,0,5.48,17.0,8,25.21,-6.0699,142.754
7.2,7,7,3,1,1384,9,0,0.142,82.0,8,22.0,16.3855,-97.9787
7.9,9,4,0,1,1870,9,0,2.585,30.0,8,14.06,56.0039,-149.166
7.1,9,7,0,1,1075,9,0,4.29,23.0,8,39.0,-15.7675,-74.7092
7.5,8,5,0,1,1623,9,0,4.581,12.0,8,19.0,17.4825,-83.52
6.5,8,7,0,0,998,9,0,2.365,28.0,8,90.0,-7.4921,108.174
6.5,1,5,0,1,651,9,0,17.654,23.0,8,17.0,-54.2189,2.1628
7.0,4,6,0,1,771,9,0,0.617,14.0,8,10.0,-21.3246,168.671
6.6,4,5,0,1,676,9,0,0.529,21.0,8,13.0,-21.5027,168.598
6.5,8,8,3,1,1153,9,0,0.225,37.0,8,19.36,9.5147,-84.4865
7.3,8,9,2,0,2790,9,0,0.284,33.0,8,19.0,34.9109,45.9592
6.5,6,5,0,1,661,9,0,4.449,10.0,8,110.57,-4.2433,143.485
6.8,5,5,0,1,727,9,0,4.852,21.0,8,10.0,-15.3197,-173.168
6.6,3,5,0,1,674,9,0,0.788,29.0,8,22.0,-21.6484,168.859
6.7,3,4,0,1,691,9,0,1.062,55.0,8,24.0,-21.6971,169.148
6.7,3,3,0,0,694,9,0,1.634,16.0,8,553.81,-7.2168,123.074
6.5,3,5,0,1,651,9,0,1.154,11.0,8,119.0,52.3909,176.769
7.1,9,8,0,0,1686,9,0,0.984,23.0,8,48.0,18.5499,-98.4887
8.2,9,7,2,1,2910,9,0,0.944,22.0,8,47.39,15.0222,-93.8993
6.5,5,7,3,0,707,9,0,11.411,22.0,8,9.0,33.1926,103.855
6.6,7,7,3,0,1064,9,0,0.913,16.0,8,7.0,36.9293,27.4139
7.7,8,7,0,1,918,9,0,3.564,13.0,8,10.0,54.4434,168.857
6.6,5,4,0,1,704,9,0,3.773,37.0,8,10.0,-49.4837,164.016
6.5,9,8,3,1,740,9,0,4.139,30.0,8,9.0,11.1269,124.629
6.8,6,6,3,1,1034,9,0,1.065,38.0,8,38.12,13.7174,-90.9718
6.9,8,6,3,1,1188,9,0,0.247,35.0,8,93.0,14.9091,-92.0092
6.8,0,4,0,1,711,9,0,2.308,12.0,8,5.0,54.0312,170.92
6.6,7,7,0,0,678,9,0,2.353,18.0,8,12.0,-1.2923,120.431
6.5,0,4,0,1,650,9,0,6.489,17.0,8,15.0,-56.414,-25.7432
6.8,6,5,0,1,713,9,0,7.495,19.0,8,169.0,-14.5884,167.377
6.9,9,6,0,1,814,9,0,1.636,14.0,8,26.0,5.5043,125.066
6.9,9,7,3,1,1642,9,0,0.356,39.0,8,28.0,-33.0375,-72.0617
6.5,7,8,0,0,1297,9,0,2.36,15.0,8,29.0,-22.6784,25.1558
6.6,6,7,3,1,671,9,0,4.591,14.0,8,17.0,56.9401,162.786
6.9,2,3,0,1,733,9,0,6.012,19.0,8,414.5,-23.2593,-178.804
6.5,3,3,0,0,653,9,0,4.242,14.0,8,595.98,-19.2814,-63.9047
6.5,8,7,3,1,718,9,0,2.822,36.0,8,15.0,9.9071,125.452
7.9,9,7,3,1,987,9,0,3.625,9.0,8,135.0,-6.2464,155.172
6.5,6,6,0,1,654,9,0,1.64,21.0,8,36.0,-10.3506,161.335
7.3,6,3,0,1,849,9,0,3.813,18.0,8,627.17,4.4782,122.617
6.9,6,4,0,1,742,9,0,2.495,13.0,8,12.0,-19.3733,176.052
7.6,9,8,3,1,1152,9,0,0.355,29.0,8,38.0,-43.4064,-73.9413
6.7,5,5,0,0,726,9,0,3.38,17.0,8,152.0,-7.5082,127.921
7.9,9,7,3,1,972,9,0,1.389,13.0,8,94.54,-4.5049,153.522
6.9,8,6,0,1,737,9,0,1.747,26.0,8,19.73,-10.749,161.132
6.5,0,5,0,0,650,9,0,1.937,18.0,8,12.26,-10.8416,161.314
7.8,9,8,0,1,961,9,0,1.836,13.0,8,40.0,-10.6812,161.327
6.6,5,4,0,1,1120,9,0,1.405,55.0,8,8.45,40.4535,-126.194
6.5,9,8,3,0,731,9,0,0.778,27.0,8,13.0,5.2834,96.1678
6.6,8,7,0,0,693,9,0,1.697,20.0,8,17.0,39.2732,73.9776
6.9,5,4,0,1,855,9,0,1.796,20.0,8,10.0,11.9097,-88.8968
6.9,9,6,0,1,1144,9,0,0.671,10.0,8,9.0,37.3931,141.387
6.5,7,7,3,1,664,9,0,0.283,56.0,8,9.0,-42.6058,173.254
6.5,6,7,3,1,656,9,0,0.135,58.0,8,10.0,-42.3205,173.669
7.8,9,9,1,1,1545,9,0,0.481,21.0,8,15.11,-42.7373,173.054
6.6,9,8,2,0,2840,9,0,0.174,25.0,8,8.0,42.8621,13.0961
6.6,3,3,0,0,677,9,0,2.022,16.0,8,614.0,-4.8626,108.163
6.8,3,6,0,1,716,9,0,3.727,11.0,8,42.0,-6.0033,148.887
6.9,2,3,0,1,733,9,0,4.051,9.0,8,596.4,-19.7819,-178.244
7.0,5,6,0,1,897,9,0,0.698,21.0,8,19.0,-37.3586,179.146
6.8,4,3,0,1,713,9,0,0.803,12.0,8,476.0,-3.6849,152.792
6.8,6,6,3,0,981,9,0,1.802,17.0,8,82.0,20.9228,94.569
7.2,6,5,0,1,799,9,0,4.823,14.0,8,16.37,-22.4765,173.117
7.7,5,6,0,1,971,9,0,3.294,14.0,8,196.0,18.5429,145.507
6.6,4,6,0,0,671,9,0,2.435,16.0,8,50.0,-2.0967,100.665
7.2,1,6,0,1,798,9,0,5.803,24.0,8,78.0,-56.2409,-26.9353
6.9,3,3,0,1,733,9,0,5.485,19.0,8,405.69,-21.9724,-178.204
6.9,8,7,0,1,780,9,0,1.192,17.0,8,29.95,0.4947,-79.616
6.7,5,7,0,1,744,9,0,1.352,21.0,8,16.0,0.4261,-79.7899
7.0,7,7,0,1,755,9,0,0.616,14.0,8,24.0,-16.0429,167.379
7.8,9,9,1,1,1163,9,0,1.44,15.0,8,20.59,0.3819,-79.9218
7.0,9,9,2,1,2074,9,0,0.349,32.0,8,10.0,32.7906,130.754
6.9,6,6,3,0,903,9,0,3.001,14.0,8,136.0,23.0944,94.8654
